,SPY_Close,SPY_Volume,TLT_Close,TLT_Volume,GLD_Close,GLD_Volume,USO_Close,USO_Volume,VIX_Close,TNX_Close,News_Sentiment,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Regime
2012-02-07,105.58832550048828,135528100,80.37103271484375,8794800,169.6999969482422,11614300,303.6000061035156,1279625,17.649999618530273,1.965999960899353,0.1038890006885927,-0.9956544,0.7113611,0.9465314,-0.84664357,-0.96323544,-0.5509322,-0.8107372,-0.72157496,0.92384124,-0.8372423,0.9662247,-0.30884695,0.8662786,-0.90062916,-0.029971413,0.37770885,0.29588777,-0.94741076,-0.48337942,-0.64164144,-0.3147411,-0.17148031,-0.53991854,-0.8805206,-0.68813354,-0.9105827,-0.10756933,-0.11001845,-0.3253173,0.8570842,0.3917516,-0.29748014,1
2012-02-08,105.90169525146484,139361400,80.43326568603516,7613400,168.5,10655500,304.32000732421875,1130725,18.15999984741211,1.975000023841858,-0.3617266500417634,-0.9954275,0.7441151,0.94360286,-0.8371593,-0.9646916,-0.593629,-0.8343318,-0.7183909,0.9244468,-0.8434392,0.9668654,-0.31242764,0.86008626,-0.915219,-0.0063443924,0.43291083,0.31950545,-0.9439228,-0.51946676,-0.6327345,-0.38746643,-0.19813877,-0.5408562,-0.88761896,-0.7109312,-0.90162396,-0.06534575,0.010446865,-0.34395808,0.8572341,0.46253708,-0.16534555,1
2012-02-09,106.03482818603516,148602900,79.8319320678711,11477700,168.02000427246094,16085200,306.6400146484375,582938,18.6299991607666,2.046999931335449,0.2554369835109495,-0.99507505,0.7371804,0.9404086,-0.8420869,-0.9670245,-0.62159926,-0.8508723,-0.71213555,0.9255147,-0.8505457,0.9670834,-0.316359,0.857462,-0.9263309,0.008162246,0.47907537,0.35135025,-0.9424472,-0.5363438,-0.6286579,-0.41797656,-0.21256404,-0.5289034,-0.8948493,-0.7206125,-0.8942448,-0.052813362,0.07818937,-0.34682468,0.8654533,0.48164707,-0.101702586,1
2012-02-10,105.2514877319336,167907500,80.8687515258789,7193100,167.13999938964844,10326800,304.1600036621094,751075,20.790000915527344,1.968999981880188,-0.664608024907584,-0.99479306,0.5872156,0.9392437,-0.900666,-0.9798209,-0.5717533,-0.81707525,-0.6569279,0.9236805,-0.8313476,0.9636996,-0.44774935,0.87487555,-0.8249643,-0.028090138,0.47480384,0.22575301,-0.9538367,-0.44897455,-0.66050655,-0.11827293,-0.16930932,-0.40719816,-0.8774752,-0.6634949,-0.92157185,-0.33941254,-0.24733183,-0.45902908,0.87930274,0.18266892,-0.5082474,1
2012-02-13,106.03482818603516,115841900,80.97247314453125,6422900,167.50999450683594,7088900,309.5199890136719,1801000,19.040000915527344,1.9900000095367432,-0.0264319194589266,-0.99578947,0.72327954,0.94685704,-0.8440109,-0.96306574,-0.5465045,-0.80353564,-0.72077274,0.9232618,-0.8335168,0.9662064,-0.30810156,0.86639684,-0.8949962,-0.031990796,0.3706759,0.28093022,-0.94778055,-0.48000368,-0.6423851,-0.3122074,-0.16498503,-0.5444499,-0.87734145,-0.6879861,-0.91365504,-0.109278634,-0.12013844,-0.33052835,0.85301304,0.39063415,-0.3063058,1
2012-02-14,105.90169525146484,165329500,81.4010238647461,8271200,167.1199951171875,7862500,310.7200012207031,1052325,19.540000915527344,1.924000024795532,-0.4844064799049827,-0.9955162,0.7523932,0.9437393,-0.83549076,-0.9646531,-0.5913358,-0.82929325,-0.7174417,0.9240073,-0.84101033,0.96690303,-0.3119375,0.8602204,-0.9121804,-0.0074373605,0.4294039,0.3094164,-0.9442066,-0.5173417,-0.63278264,-0.3871744,-0.19471227,-0.54437214,-0.8855005,-0.71079147,-0.90393317,-0.06639535,0.0041066296,-0.3481811,0.85444576,0.46179444,-0.17048946,1
2012-02-15,105.40819549560548,195195100,81.25585174560547,6846100,168.11000061035156,11638500,313.44000244140625,1107075,21.13999938964844,1.930999994277954,-0.2607344431208637,-0.99513423,0.7430799,0.94047844,-0.84114045,-0.967041,-0.6204488,-0.84763616,-0.7114663,0.9251931,-0.84903747,0.9671458,-0.3160621,0.8575654,-0.924634,0.0075675272,0.47742388,0.3444893,-0.9426626,-0.53506875,-0.62843955,-0.41829595,-0.21088426,-0.5314824,-0.89346963,-0.72050387,-0.89593613,-0.053506136,0.074338414,-0.34995174,0.86363363,0.48118207,-0.10466354,1
2012-02-16,106.57533264160156,186567800,80.60607147216797,9036200,168.0,10734000,314.239990234375,795000,19.21999931335449,1.993000030517578,0.0189594685265656,-0.99483925,0.726131,0.938543,-0.8475304,-0.9683,-0.63423693,-0.85993665,-0.70900226,0.9263981,-0.8555168,0.9672481,-0.317987,0.85684973,-0.93305266,0.014819026,0.50260144,0.3756417,-0.9419185,-0.54261345,-0.62682253,-0.4310848,-0.2214428,-0.5195116,-0.89940906,-0.72374237,-0.8898978,-0.04695816,0.10940157,-0.34358326,0.8719496,0.48582527,-0.073083,1
2012-02-17,106.85736083984376,129869400,80.58534240722656,6338000,167.35000610351562,7286900,318.0,986850,17.780000686645508,2.009999990463257,-0.3441653461135809,-0.9946364,0.71046,0.9376015,-0.851792,-0.9687978,-0.64054894,-0.868314,-0.7083479,0.92742324,-0.86015326,0.9672664,-0.3189479,0.85676706,-0.938264,0.018219743,0.51425374,0.39880472,-0.9414373,-0.5463498,-0.62650776,-0.43599954,-0.2280941,-0.51068646,-0.90346646,-0.7247163,-0.88539135,-0.043452155,0.12666701,-0.33622482,0.8778719,0.48701683,-0.057459716,1
2012-02-21,106.90435028076172,134042300,79.69366455078125,8338300,171.02000427246094,13611200,324.6400146484375,1423688,18.190000534057617,2.0450000762939453,-0.1538222176919301,-0.9945013,0.6981125,0.93718815,-0.85416657,-0.9689325,-0.64350384,-0.8739456,-0.70841765,0.9282293,-0.86325556,0.9672277,-0.31951088,0.8567734,-0.9414141,0.019894954,0.5193668,0.41467968,-0.94106466,-0.54852897,-0.6267709,-0.4376014,-0.23174793,-0.50459975,-0.9061533,-0.7249962,-0.8820486,-0.04155867,0.13548774,-0.33003566,0.8817659,0.4874801,-0.04932756,1
2012-02-22,106.5597152709961,124455300,80.69593048095703,7736800,172.94000244140625,16676500,324.7200012207031,1106025,18.190000534057617,2.005000114440918,0.4025171236857762,-0.9943623,0.54212445,0.93792605,-0.906515,-0.98037773,-0.58349705,-0.8369143,-0.65628874,0.9263104,-0.84272283,0.9636211,-0.4489296,0.8751618,-0.8466709,-0.023157282,0.49360627,0.27537483,-0.95263135,-0.45699355,-0.65887487,-0.13048452,-0.18177801,-0.38875917,-0.886495,-0.6647344,-0.91393507,-0.33395165,-0.21755219,-0.44461235,0.8893053,0.18399373,-0.4866095,1
2012-02-23,107.02970886230467,137704300,80.69593048095703,5163900,173.02000427246094,11654200,330.9599914550781,1214988,16.799999237060547,1.9839999675750728,-0.2307567478092595,-0.99540603,0.5767791,0.9475292,-0.91207814,-0.9796034,-0.4871477,-0.7599994,-0.67215174,0.9213512,-0.81312835,0.96376073,-0.44490823,0.8799386,-0.76688325,-0.06474191,0.35341159,0.13113444,-0.95978034,-0.37878016,-0.68275464,-0.0006537512,-0.11168081,-0.42915684,-0.8597935,-0.63163346,-0.9316191,-0.39949962,-0.44892523,-0.44609028,0.8641659,0.09144033,-0.66035503,1
2012-02-24,107.26471710205078,105539100,81.22129821777344,5676900,172.22999572753906,9293700,336.0799865722656,1503988,17.309999465942383,1.9769999980926516,0.3342768448260567,-0.9963167,0.7406887,0.9505483,-0.83592826,-0.9590459,-0.49507976,-0.7611303,-0.7266568,0.9200202,-0.8163261,0.96636534,-0.30194864,0.8684969,-0.86079866,-0.05359873,0.30264375,0.19558638,-0.95105845,-0.4421959,-0.65031767,-0.2744243,-0.1222589,-0.5625302,-0.861548,-0.6756776,-0.9228243,-0.12902105,-0.22802316,-0.3392696,0.8307312,0.35769045,-0.39968887,1
2012-02-27,107.44487762451172,145728900,81.94015502929688,8180700,171.6999969482422,7340900,329.44000244140625,1417188,18.190000534057617,1.9220000505447388,-0.4518827418630473,-0.9959546,0.7796346,0.94555056,-0.8244317,-0.96237373,-0.56524765,-0.79849696,-0.71827865,0.9208564,-0.82732904,0.9670964,-0.3085573,0.8606234,-0.891405,-0.018852716,0.39375192,0.24172284,-0.94594306,-0.49886277,-0.6348741,-0.37569296,-0.16996594,-0.5628534,-0.873862,-0.70544684,-0.91137165,-0.07576196,-0.056716725,-0.36498708,0.83658564,0.45213145,-0.22126168,1
2012-02-28,107.75820922851562,129355900,81.67058563232422,6615700,173.49000549316406,12413000,326.32000732421875,1242913,17.959999084472656,1.9290000200271609,0.2119216711661131,-0.9954612,0.76947325,0.94136,-0.8331165,-0.9660912,-0.6080258,-0.8268312,-0.7108984,0.9225121,-0.83944726,0.967352,-0.31428567,0.857259,-0.9124063,0.002079131,0.46047136,0.29534665,-0.9436989,-0.5256169,-0.6281107,-0.41588885,-0.1971229,-0.54701716,-0.8855338,-0.71827084,-0.90170807,-0.058647595,0.04143344,-0.36629835,0.85134447,0.47831592,-0.13152492,1
